CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
20-01-0040-46,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO 'SAGRADA FAMILIA',6A AVE. 5-68 ZONA 1,79420232,SILVIA MARILENA BUEZO MARTINEZ,D�MARYS JUDITH D�AZ TEJADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0041-46,99-001,CHIQUIMULA,CHIQUIMULA,INSTITUTO MODERNO CHIQUIMULTECO,CALLE HUGO LEONEL BACARO 9-30 ZONA 1,,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0164-46,20-027,CHIQUIMULA,CHIQUIMULA,INSTITUTO TECNOLOGICO PRIVADO DE ORIENTE,4TA. AVENIDA 4-20 ZONA 1,79422349,SILVIA MARILENA BUEZO MARTINEZ,SALOMON ELIASIB ALVAREZ CORD�N,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0176-46,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO BENDICION,4A. CALLE A 13-25 ZONA 1,41007884,SILVIA MARILENA BUEZO MARTINEZ,AXEL YOVANY VILLELA MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0179-46,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO EVANGELICO MIXTO ADONAI,8A. AVENIDA 4-40 ZONA 1,79424111,SILVIA MARILENA BUEZO MARTINEZ,MERARI JASM�N DE LE�N CARRILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0181-46,20-024,CHIQUIMULA,CHIQUIMULA,LICEO SAN PABLO,2A. CALLE 4-40 ZONA 1,79421747,SILVIA MARILENA BUEZO MARTINEZ,EDGAR RENE ANDRADE SAENZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0184-46,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO SABIDURIA,2DA. CALLE 4-40 ZONA 1,,SILVIA MARILENA BUEZO MARTINEZ,JOSE LUIS LOPEZ PERALTA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0197-46,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO SUPERIOR DE INFORMATICA HIGA,1RA. CALLE 5-61 ZONA 2,44043628,SILVIA MARILENA BUEZO MARTINEZ,KOKMAN ANGEL CHANG BARELA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA
20-01-0198-46,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO MIXTO EN TECNOLOGIA LATINOAMERICANO,3RA. AVENIDA 4-49 ZONA 1,41795225,SILVIA MARILENA BUEZO MARTINEZ,JAQUELINE EDITH SANTIAGO RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0204-46,20-027,CHIQUIMULA,CHIQUIMULA,INSTITUTO TECNOLOGICO PRIVADO DE ORIENTE,4A. AVENIDA 4-20 ZONA 1,79425959,SILVIA MARILENA BUEZO MARTINEZ,SALOMON ELIASIB ALVAREZ CORD�N,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0205-46,20-027,CHIQUIMULA,CHIQUIMULA,CENTRO EDUCATIVO INTEGRAL CASA DEL ALFARERO,14 AVENIDA 5-23 ZONA 7 COLONIA SHOROPIN,37590030,SILVIA MARILENA BUEZO MARTINEZ,KATHERINE JAZMIN GREGORIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0207-46,20-027,CHIQUIMULA,CHIQUIMULA,COLEGIO SUPERIOR DE INFORM�TICA HIGA,1A. CALLE 5-61 ZONA 2,44043628,SILVIA MARILENA BUEZO MARTINEZ,MARLENI ELIZABETH SALVADOR L�PEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA
20-01-0213-46,20-024,CHIQUIMULA,CHIQUIMULA,LICEO ISRAEL�,5A. CALLE 4-11 ZONA 1,79422500,SILVIA MARILENA BUEZO MARTINEZ,GLADYS EUGENIA RODR�GUEZ RAM�REZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0221-46,20-024,CHIQUIMULA,CHIQUIMULA,ESCUELA SECUNDARIA PRIVADA MIXTA DE ORIENTE -ESDEO-,2DA. CALLE 4-40 ZONA 1,79420290,SILVIA MARILENA BUEZO MARTINEZ,ERWIN LEONEL COLINDRES MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA
20-01-0232-46,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO BILING�E MI PEQUE�O MUNDO (MY SMALL WORLD BILINGUAL SCHOOL),8VA. AVENIDA SUR FINAL 1-18 ZONA 4,79425429,SILVIA MARILENA BUEZO MARTINEZ,ANG�LICA MAR�A MEJ�A MORATAYA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
